"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_gap"
5.67835718056207e-76,2.12740475698774,0.435,0.075,3.09425039483188e-71,"0","UBE2S",0.36
5.68443982590508e-76,2.00249190831843,0.522,0.112,3.0975649499322e-71,"0","CYP7B1",0.41
6.46527732319783e-75,0.766804655972972,0.996,0.975,3.52305891895696e-70,"0","MT-ND1",0.021
1.93046279102054e-74,2.59959327802584,0.465,0.075,1.05194778408291e-69,"0","IER5L",0.39
3.12734226768013e-74,1.94534911876657,0.733,0.29,1.70415134850425e-69,"0","MTRNR2L8",0.443
4.33459458406803e-74,0.87359248140156,0.953,0.692,2.36200728075035e-69,"0","CEBPB",0.261
5.21856561650257e-74,2.14840511143367,0.611,0.22,2.84370077574458e-69,"0","TNFAIP3",0.391
2.43543030272748e-73,1.1381887314063,0.811,0.406,1.32711468056226e-68,"0","NR4A1",0.405
2.73017569819412e-72,1.11375886460975,0.844,0.429,1.48772734145994e-67,"0","PDGFRB",0.415
3.8878543740728e-71,2.34318587645002,0.478,0.088,2.11856960551975e-66,"0","RPS4Y1",0.39
1.1538045611369e-70,1.31463223115359,0.794,0.358,6.28731181454719e-66,"0","KLF9",0.436
2.10850104725526e-70,1.43621897173143,0.722,0.286,1.14896439067034e-65,"0","IL1R1",0.436
1.84767883480718e-69,1.46608820378282,0.558,0.167,1.00683715066313e-64,"0","METRNL",0.391
1.90829531364194e-69,1.14789464808087,0.784,0.403,1.03986828230976e-64,"0","NFKBIZ",0.381
2.48040813624444e-69,1.47460210659174,0.699,0.255,1.35162400160232e-64,"0","PXDN",0.444
4.16103750365001e-69,1.61945923278564,0.507,0.132,2.26743255648897e-64,"0","PHC2",0.375
1.57226713416731e-68,0.744750833291104,0.971,0.86,8.56759806750452e-64,"0","RPL7A",0.111
6.22430028844806e-68,1.25041454541193,0.622,0.22,3.39174571318112e-63,"0","RRAS",0.402
5.72918376723502e-66,1.16309250555957,0.816,0.406,3.1219468184417e-61,"0","NAMPT",0.41
2.55960606612946e-65,1.24541653555248,0.669,0.263,1.39478053755527e-60,"0","FNDC3B",0.406
5.07681024281355e-65,1.79660479042102,0.451,0.095,2.76645543751396e-60,"0","METRN",0.356
1.88200508232844e-64,1.39259231588131,0.672,0.288,1.02554220946241e-59,"0","ATF3",0.384
4.83071300038207e-64,1.94229604927132,0.561,0.186,2.6323521281682e-59,"0","SERPINE1",0.375
2.22079622855524e-63,0.738603153387244,0.977,0.853,1.21015628086432e-58,"0","IGFBP4",0.124
2.95417815862577e-63,1.84555178364616,0.446,0.121,1.60979076219835e-58,"0","TRIB1",0.325
3.59956264583157e-63,1.61039745434933,0.426,0.097,1.96147367696654e-58,"0","UBE2M",0.329
7.43688779359684e-63,1.87386900321983,0.52,0.128,4.05250889648679e-58,"0","JDP2",0.392
2.76667833336827e-62,0.639136244300323,0.997,0.993,1.50761835741904e-57,"0","MT-CYB",0.004
7.15220039633436e-62,1.42029509284054,0.482,0.119,3.89737703997052e-57,"0","MAP2K2",0.363
1.16898664623801e-61,0.957511294233696,0.688,0.288,6.37004203268019e-57,"0","EMILIN1",0.4
4.30566891120333e-61,0.619082860423434,0.998,0.997,2.34624510309292e-56,"0","MT-CO2",0.001
6.27575115334912e-61,0.98337391355357,0.917,0.59,3.419782318483e-56,"0","IGFBP2",0.327
1.29697952436e-60,0.970211993574616,0.749,0.346,7.0675008241425e-56,"0","MRC2",0.403
2.67588438630433e-60,1.90944233958249,0.421,0.095,1.45814291978496e-55,"0","IER5",0.326
1.30555960867579e-59,1.44477111553696,0.486,0.134,7.11425541959613e-55,"0","MBD2",0.352
5.42647508147134e-59,2.25513377019632,0.505,0.141,2.95699480139536e-54,"0","PAPPA",0.364
8.86963858279106e-59,1.05050445979753,0.816,0.426,4.8332434565345e-54,"0","SQSTM1",0.39
3.98314479246489e-58,1.39876086144582,0.467,0.121,2.17049526030997e-53,"0","CTDNEP1",0.346
9.1413002882742e-58,0.663911205463458,0.97,0.833,4.98127735308638e-53,"0","UBC",0.137
2.34622057852956e-57,1.23610803294655,0.566,0.201,1.27850251765233e-52,"0","SLC39A14",0.365
6.08420033692265e-57,1.9868074112667,0.363,0.066,3.31540244759589e-52,"0","TAF10",0.297
6.49354454718039e-57,1.94939189813248,0.454,0.151,3.53846229464954e-52,"0","PTGS2",0.303
1.34168724569144e-56,1.42555722984952,0.579,0.182,7.31112213922182e-52,"0","TUBB4B",0.397
2.60044099581685e-56,1.28398008608638,0.701,0.318,1.41703230744052e-51,"0","PMEPA1",0.383
2.89202734716146e-56,1.27177500704326,0.694,0.351,1.57592354201522e-51,"0","IGF2",0.343
3.55896525713753e-56,1.94631638577216,0.424,0.107,1.93935134791938e-51,"0","KDM6B",0.317
3.56029669348643e-56,1.14557159125575,0.696,0.272,1.94007687421463e-51,"0","GNAI2",0.424
7.84464385316249e-56,0.98356080657913,0.794,0.415,4.27470332846531e-51,"0","STAT3",0.379
2.4170902754156e-55,1.16225892472692,0.52,0.175,1.31712083287947e-50,"0","CDV3",0.345
2.56663904256438e-55,2.9740303232701,0.353,0.078,1.39861294707418e-50,"0","RRAD",0.275
4.80440758869097e-55,2.01763677507868,0.321,0.055,2.61801778322948e-50,"0","MAFK",0.266
2.54737650461756e-54,0.999134973804591,0.571,0.224,1.3881164048962e-49,"0","UGCG",0.347
3.0696729003091e-54,0.800387958644187,0.701,0.332,1.67272615683643e-49,"0","C8orf4",0.369
9.4161482703285e-54,0.791035168801545,0.888,0.476,5.13104751546741e-49,"0","GNAS",0.412
2.67318532072754e-53,1.32315482731712,0.506,0.145,1.45667214497085e-48,"0","CDC42EP5",0.361
3.53302134252673e-53,0.587341912821633,0.944,0.746,1.92521398996966e-48,"0","NNMT",0.198
7.35569493770256e-53,1.17342635068281,0.795,0.421,4.00826528545288e-48,"0","COL4A1",0.374
1.13158667271103e-52,1.56716060683222,0.477,0.131,6.16624209693697e-48,"0","TSPAN11",0.346
1.20927996128728e-52,0.580828175456694,0.95,0.685,6.58960836504664e-48,"0","EGR1",0.265
1.43868797158388e-52,1.24393705715777,0.556,0.196,7.83969849475486e-48,"0","SYNE1",0.36
